Italian,English
parte,part
storia,history
cercare,search
solo,only
polizia,police
pensavo,thought
aiuto,help
richiesta,request
genere,kind
mese,month
fratello,brother
lasciare,let
perché,because
mettere,to put
nessuno,no one
guinzaglio,leash
loro,them
città,city
ogni,each
parlato,spoken
arrivato,arrived
dovrebbe,should
bambino,baby
a lungo,long time
ore,hours
andranno,will go
durante,while
rivedere,see again
alcuna,any
piazza,square
parla,speaks
capito,understood
sapevo,knew
erano,were
attenzione,warning
ecco,here is
potrei,could
affare,deal
dare,give
tipo,type
loro,their
dato,given
treno,train
corpo,body
luogo,place
occhi,eyes
modo,way
ascolta,listen
cui,whose
trova,finds
primo,first
perso,lost
mano,hand
prima,first
lato,side
potere,power
vecchio,old
sii,be
tieni,here
mattina,morning
così tanto,so much
bambino,child
punto,point
venuto,came
dopo,after
scusa,sorry
venite,come (you all)
davanti,in front of
verso,towards
minuti,minutes
chiesto,asked
camera,bedroom
messo,put/placed
bella,beautiful
legge,law
vorrei,would like
oggi,today
marito,husband
causa,cause
infine,finally
spero,hope
acqua,water
aspettate,wait (you all)
partito,left
notizia,news
lavoro,job
fermarsi,to stop
direbbe,would say
terra,Earth
conto,account
dà,gives
lontano,far
fine,end
credere,believe
tesoro,sweetheart
grande,large
piuttosto,rather
avrà,will have
ragazze,girls
giocare,to play
ufficio,office
